Date,GMV,MV,EW,Active,NIFTY50
2009-09-30,0.0659661751685634,0.01887891569066147,0.11216161043443962,0.10857502967282984,0.11210884948976907
2009-12-31,0.11470133744083233,0.06813538243765405,0.15605086075415908,0.15512036987766553,0.10385847995415642
2010-03-31,0.05167444432605439,0.03017585020639002,0.0887295126825367,0.0887295126825367,0.07518358066795727
2010-06-30,0.252809366944621,0.262353106929921,0.04835208342361019,0.04835208342361019,0.011105507075359178
2010-09-30,0.09345885402793153,0.09427843374644462,0.14457670084892071,0.14457670084892071,0.12339779417244112
2010-12-31,0.010033499053988093,0.01159737389548754,0.010131504166453142,0.010131504166453142,0.019409408910380677
2011-03-31,0.05538131145858882,0.07224096095187016,0.06745893535283853,0.06745893535283853,0.058343840425242766
2011-06-30,0.08131375840681909,0.08014121378582018,0.0073442432903954025,0.0073442432903954025,-0.017758065918775046
2011-09-30,0.05386944332659804,0.04702110929009806,-0.06907799638573386,-0.06907799638573386,-0.098276176577892
2011-12-31,-0.018022236734730246,-0.02049265528509414,-0.12053211413334375,-0.12053211413334375,-0.1373701195739362
2012-03-31,0.13563899133257773,0.13700891060869735,0.0781839576661818,0.0781839576661818,0.040935270182612005
2012-06-30,0.04814460558155731,0.05489297529108428,0.009963302666468055,0.009963302666468055,0.017011520826109017
2012-09-30,0.12889106611790568,0.1334802340062422,0.10837185549999173,0.10837185549999173,0.09683064733259039
2012-12-31,0.046022568468492064,0.05269233769115522,0.07476197145575303,0.07476197145575303,0.05487772200289398
2013-03-31,-0.03809412622369923,-0.0386465003174834,-0.062071159752228766,-0.062071159752228766,-0.061627378937373134
2013-06-30,0.05469043519787986,0.04554713891028217,0.00484610861557111,0.00484610861557111,-0.010484239765586878
2013-09-30,0.10498741364867903,0.12113208829968158,0.032360695463499844,0.032360695463499844,-0.003431768620602349
2013-12-31,0.07850007414003723,0.08326705200408879,0.044092702728776745,0.044092702728776745,0.008365724522930496
2014-03-31,0.027118395550346897,0.02393435083755957,0.13003075110627016,0.13003075110627016,0.1038082223356438
2014-06-30,0.15527880768831892,0.15476982501579317,0.17084994639832796,0.17084994639832796,0.1334425375079118
2014-09-30,0.14624960431137168,0.14547078947829917,0.07882499702145851,0.07882499702145851,0.02225530713350654
2014-12-31,0.06677014554541416,0.06038990567165614,0.023485346653073114,0.023485346653073114,0.013893649316947254
2015-03-31,-0.02228745032012447,-0.02720914650535855,-0.021817087518978484,-0.021817087518978484,-0.03608850140199127
2015-06-30,0.049908565021912654,0.053198377029299415,0.02496609913999359,0.02496609913999359,0.01562547407384951
2015-09-30,-0.012560374991585133,-0.02307676843739903,-0.05195517799954952,-0.05195517799954952,-0.05615189151962752
2015-12-31,-0.007730416209052793,-0.008733330095327285,0.0003601648600701779,0.0003601648600701779,-0.0148094423367795
2016-03-31,0.01696548599890546,0.02634473687982375,0.03843823154404369,0.03843823154404369,0.023117451461284633
2016-06-30,0.07219512196409394,0.0754437152871188,0.0636203330660976,0.0636203330660976,0.055791230349818255
2016-09-30,0.05523498138485983,0.054398193547146034,0.01600632292789106,0.01600632292789106,-0.0031660589222667346
2016-12-31,-0.019921417200516434,-0.015388340231268671,-0.062030368328294117,-0.062030368328294117,-0.05235008103727701
2017-03-31,0.040724688671269105,0.048146959363035924,0.052449724094882244,0.052449724094882244,0.06266832701051328
2017-06-30,0.032978341424412694,0.03151896734759663,0.027385599727308474,0.027385599727308474,0.02330705445478065
2017-09-30,-0.009624238122256545,-0.013104327958448958,0.008567452233832373,0.008567452233832373,-0.02255729192670619
2017-12-31,-0.012388550648453345,-0.011550117054373366,0.0472916598564217,0.0472916598564217,0.016118838440125405
2018-03-31,-0.008371802608096002,0.003940936974885512,-0.07231175639850518,-0.07231175639850518,-0.08470404039946966
2018-06-30,0.05614656004319807,0.052372914974639695,-0.01872511449576486,-0.01872511449576486,0.002057555437090297
2018-09-30,-0.04524604656819664,-0.04114452026089743,-0.0077591523602207335,-0.0077591523602207335,-0.03437415798331245
2018-12-31,0.08637581142263073,0.09482042676426516,0.05907104940492092,0.05907104940492092,0.06512296046438726
2019-03-31,0.12996848955075135,0.13161605956257372,0.0874610825690827,0.0874610825690827,0.09126157081432296
2019-06-30,0.04571965743030493,0.04662791990226989,0.003990114374754272,0.003990114374754272,0.0029094868839145693
2019-09-30,0.018442280507982245,0.03255024876363266,0.05387597600130323,0.05387597600130323,0.03509571147635615
2019-12-31,-0.01515133725091633,-0.023639215005479164,0.01986785089014509,0.01986785089014509,0.027384942714093974
2020-03-31,-0.17522496743011484,-0.17907005627858974,-0.3103297438104864,-0.3103297438104864,-0.28565197161800604
2020-06-30,0.040929552025962046,0.13940392306079064,0.11654492789242932,0.11654492789242932,0.07837564833278465
2020-09-30,0.012283477364432693,0.05414287272760454,0.06425471083101386,0.06425471083101386,0.01309656237755874
2020-12-31,0.12564165975973896,0.14794371690800934,0.24078598543426333,0.24078598543426333,0.2009336562907995
2021-03-31,0.048426464144328385,0.015684896412654803,0.12121567854978532,0.12121567854978532,0.07745735115074903
2021-06-30,0.05685743793790654,0.03019761737520099,0.08439920185795691,0.08439920185795691,0.055495505172911574
2021-09-30,0.15504387161870792,0.18198668906506255,0.09826441803174868,0.09826441803174868,0.11768661521723245
2021-12-31,-0.04402282160001303,-0.04514764665761384,-0.0012265651196616822,-0.0012265651196616822,-0.017972288948683413
2022-03-31,-0.030689217229427412,-0.018917434187664672,0.025831131791021145,0.025831131791021145,0.021213955133771334
2022-06-30,0.10247163969880124,0.09841594459867453,-0.09971148092328086,-0.09971148092328086,-0.07731595580775952
2022-09-30,-0.01079506154805232,-0.024383336920651977,0.01572627951724237,0.01572627951724237,-0.003724156018242053
2022-12-31,0.03409991374773402,0.03591958578743837,0.01300169376698257,0.01300169376698257,0.017906537432253566
